selection_rank,name,source,session,duration_seconds,text_characters,annotation_pattern,expression,action,joint_speed_mean,joint_speed_p90,body_rotation_speed,body_rotation_p90,hand_rotation_speed,hand_rotation_p90,joint_positions_available,complexity_score,duration_bin,text_length_bin,complexity_bin
3728,fbx_to_json_data_susu_retarget_maya/20250916/Human_0915_66-5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250916,8.5,19,expression+action,眉心微蹙，带着一丝迷茫,指了指周围环境,0.01900205761194229,0.04753127694129944,0.01900205761194229,0.04753127694129944,0.031138593330979347,0.08636333793401718,False,0.8035150909664529,q5of5,q3of5,q5of5
3729,fbx_to_json_data_susu_retarget_maya/20251103/Human_0916_138_4_18_01_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251103,6.95,16,action-only,<unannotated>,夸张地向后仰头，长长地呼出一口气，但嘴角却忍不住向上弯起。,0.3499860167503357,0.7069624066352844,0.0076145511120557785,0.017263401299715042,0.019444620236754417,0.053189124912023544,True,0.30670943316857713,q4of5,q2of5,q2of5
3730,fbx_to_json_data_susu_retarget_maya/20251104/Human_0916_155_2_1_01_XC,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251104,3.7,15,action-only,<unannotated>,身体微微前倾，头向左歪，然后迅速向右歪，像只好奇的小猫在打量。,0.527278482913971,0.9776250720024109,0.00905964057892561,0.019142167642712593,0.006524431519210339,0.014669482596218586,True,0.12706383426227785,q1of5,q1of5,q1of5
3731,fbx_to_json_data_susu_retarget_maya/20250820/Human_0819_77-4_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250820,7.3,23,expression-only,苦笑,<unannotated>,0.007470941171050072,0.01701482944190502,0.007470941171050072,0.01701482944190502,0.0064917635172605515,0.015808355063199997,False,0.10630718266905037,q4of5,q5of5,q1of5
3732,fbx_to_json_data_susu_retarget_maya/20250904/Human_0904_24-7_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250904,6.35,19,expression+action,脸上浮现出浅浅的红晕,双手轻抚裙摆,0.01615365594625473,0.03873902186751366,0.01615365594625473,0.03873902186751366,0.03196733444929123,0.09193465113639832,False,0.7468056577978758,q3of5,q3of5,q5of5
3733,fbx_to_json_data_susu_retarget_maya/20250812/Human_0811_8-9_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250812,8.25,21,no-tags,<unannotated>,<unannotated>,0.008407941088080406,0.017409304156899452,0.008407941088080406,0.017409304156899452,0.021944787353277206,0.07153687626123428,False,0.3912477652750026,q5of5,q4of5,q2of5
3734,fbx_to_json_data_susu_retarget_maya/20251107/Human_0916_205_1_7_01_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251107,4.6,17,action-only,<unannotated>,把双手背到身后，歪着头，身体随之左右轻轻摇晃。,1.2436234951019287,3.2643675804138184,0.013998573645949364,0.03934027627110481,0.017432428896427155,0.04246675223112106,True,0.4748922073824797,q2of5,q2of5,q3of5
3735,fbx_to_json_data_susu_chonglu/20260115/Human_464_89_01_A,fbx_to_json_data_susu_chonglu,fbx_to_json_data_susu_chonglu/20260115,3.3,11,expression+action,眼神亮晶晶,双手交握悬于胸前,1.5859653949737549,6.089430332183838,0.017616629600524902,0.04844073951244354,0.023501360788941383,0.0750194862484932,True,0.71561152592281,q1of5,q1of5,q4of5
3736,fbx_to_json_data_susu_retarget_maya/20250912/Human_0912_10-7_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250912,9.45,21,expression+action,眼中闪过一丝得意的狡黠,轻轻偏头，眼中闪烁着光芒。,0.016284802928566933,0.04049339517951012,0.016284802928566933,0.04049339517951012,0.014702163636684418,0.033667489886283875,False,0.46707066989168156,q5of5,q4of5,q3of5
3737,fbx_to_json_data_susu_retarget_maya/20251111/Human_1021_292_0_11_01_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251111,6.95,23,action-only,<unannotated>,张开双臂，身体大幅度地向后仰，像风车一样快速旋转，然后停下来时因为眩晕而左右晃动身体。,5.397128105163574,14.337040901184082,0.030181704089045525,0.07829543203115463,0.01273924671113491,0.037053000181913376,True,0.6168366810390156,q4of5,q5of5,q4of5
3738,fbx_to_json_data_susu_retarget_maya/20250826/Human_0825_172-1_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250826,5.3,18,expression-only,莞尔,<unannotated>,0.009260918013751507,0.021176161244511604,0.009260918013751507,0.021176161244511604,0.022048044949769974,0.05712256580591202,False,0.3764591439688716,q2of5,q3of5,q2of5
3739,fbx_to_json_data_susu_retarget_maya/20250923/Human_0916_53_1_5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250923,5.8,25,action-only,<unannotated>,突然停下脚步，身体前倾，伸出一只手臂直指屏幕，仿佛在强调某个关键论点,1.6962549686431885,3.8638315200805664,0.022210143506526947,0.057883743196725845,0.034961357712745667,0.11213264614343643,True,0.8941266168892628,q3of5,q5of5,q5of5
3740,fbx_to_json_data_susu_retarget_maya/20250926/Human_0916_89_4_1_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250926,4.2,17,action-only,<unannotated>,身体大幅度地向左倾斜，左臂顺势无力地垂下，右臂则滑稽地举过头顶。,0.9547268152236938,2.4955496788024902,0.010251539759337902,0.024875234812498093,0.007117072585970163,0.017982004210352898,True,0.1826427594910085,q1of5,q2of5,q1of5
3741,fbx_to_json_data_susu_retarget_maya/20250911/Human_0910_160-2_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250911,5.85,20,expression+action,有些困惑,双手交叉挡在胸前,0.020850183442234993,0.052839215844869614,0.020850183442234993,0.052839215844869614,0.017867915332317352,0.04740520566701889,False,0.6237117467662214,q3of5,q4of5,q4of5
3742,fbx_to_json_data_susu_retarget_maya/20250806/Human_susu_250804_137-10_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250806,5.6,18,expression-only,了然,<unannotated>,0.008633188903331757,0.022295484319329262,0.008633188903331757,0.022295484319329262,0.025906840339303017,0.06394611299037933,False,0.4290934903775371,q2of5,q3of5,q2of5
3743,fbx_to_json_data_susu_chonglu/20260119/Human_351_98_01_A,fbx_to_json_data_susu_chonglu,fbx_to_json_data_susu_chonglu/20260119,3.05,8,expression+action,俏皮坏笑,下巴微扬,0.14241333305835724,0.32982689142227173,0.0037366875912994146,0.008240154013037682,0.0018810633337125182,0.004841013811528683,True,0.030024187611736253,q1of5,q1of5,q1of5
3744,fbx_to_json_data_susu_retarget_maya/20250901/Human_0829_53-5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250901,9.8,23,no-tags,<unannotated>,<unannotated>,0.01262039877474308,0.03364422917366028,0.01262039877474308,0.03364422917366028,0.022556504234671593,0.06028814613819122,False,0.5232411399726575,q5of5,q5of5,q3of5
3745,fbx_to_json_data_susu_retarget_maya/20251027/Human_0916_124_0_5_01_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251027,7.5,21,action-only,<unannotated>,双臂高举过头顶后，身体轻微后仰，手臂再如柳条般柔软地向两侧缓缓垂下。,1.9200176000595093,4.392399311065674,0.030198076739907265,0.08196030557155609,0.02788165770471096,0.09238463640213013,True,0.8950599432116941,q4of5,q4of5,q5of5
3746,fbx_to_json_data_susu_retarget_maya/20251028/Human_0916_132_2_15_01_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251028,4.1,17,action-only,<unannotated>,突然双臂在胸前交叉，身体向后一缩，假装被自己的举动吓到了。,1.0233733654022217,2.726452112197876,0.0217148307710886,0.05063614249229431,0.0438152439892292,0.13244223594665527,True,0.8949942160058892,q1of5,q2of5,q5of5
3747,fbx_to_json_data_susu_retarget_maya/20250815/Human_0814_32-11_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250815,4.95,13,expression-only,渴望,<unannotated>,0.00912182405591011,0.01715720258653164,0.00912182405591011,0.01715720258653164,0.015719296410679817,0.04413507506251335,False,0.25659901146282466,q2of5,q1of5,q1of5
3748,fbx_to_json_data_susu_retarget_maya/20250903/Human_0901_197-2_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250903,6.65,19,expression+action,困惑中带着一丝不安,双手轻抚太阳穴，像是在努力回忆什么,0.011412412859499454,0.02753077633678913,0.011412412859499454,0.02753077633678913,0.02622910961508751,0.08098702877759933,False,0.5450362814176044,q4of5,q3of5,q3of5
3749,fbx_to_json_data_susu_retarget_maya/20251024/Human_0916_110_3_17_01_XC,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251024,6.55,23,action-only,<unannotated>,动作结束时，她双手在身前合拢，身体微微前倾，像芭蕾舞演员一样向你行了一个谢幕礼。,1.4347240924835205,4.152838230133057,0.021511662751436234,0.055917348712682724,0.018562540411949158,0.04561677947640419,True,0.6361078977810496,q3of5,q5of5,q4of5
3750,fbx_to_json_data_susu_retarget_maya/20250909/Human_0908_79-7_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250909,8.75,27,expression+action,眼神带着期待又带着忐忑,双手轻轻交叠,0.009880440309643745,0.025372743606567383,0.009880440309643745,0.025372743606567383,0.015350494533777237,0.037601690739393234,False,0.28590019981070564,q5of5,q5of5,q2of5
3751,fbx_to_json_data_susu_retarget_maya/20250902/Human_0901_31-7_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250902,7.15,19,action-only,<unannotated>,微微歪头，关切地看着对方,0.010319780558347702,0.02208845317363739,0.010319780558347702,0.02208845317363739,0.02356221340596676,0.0687938705086708,False,0.4425938584498895,q4of5,q3of5,q2of5
3752,fbx_to_json_data_susu_retarget_maya/20250804/Human_758-2_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250804,10.85,28,expression-only,挠头,<unannotated>,0.010401101782917976,0.022798245772719383,0.010401101782917976,0.022798245772719383,0.0253746397793293,0.07991542667150497,False,0.4907193185403302,q5of5,q5of5,q3of5
3753,fbx_to_json_data_susu_retarget_maya/20251016/Human_0916_255_4_14_02,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251016,4.1,16,action-only,<unannotated>,模仿画中的姿势，笨拙又可爱地在屏幕里摆出一个同款造型。,2.022366762161255,6.810689449310303,0.028347542509436607,0.07711683213710785,0.033879633992910385,0.11222706735134125,True,0.9356793563992007,q1of5,q2of5,q5of5
3754,fbx_to_json_data_susu_retarget_maya/20250825/Human_0819_285-1_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250825,4.75,12,no-tags,<unannotated>,<unannotated>,0.007529630325734615,0.014028354547917843,0.007529630325734615,0.014028354547917843,0.011000373400747776,0.0316137969493866,False,0.15907298348932591,q2of5,q1of5,q1of5
3755,fbx_to_json_data_susu_retarget_maya/20250910/Human_0910_10-5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250910,5.75,17,expression+action,眯起眼睛看着用户，嘴角微扬,双手抱臂，身体微微后仰,0.013396413996815681,0.03179541975259781,0.013396413996815681,0.03179541975259781,0.02576376311480999,0.07497372478246689,False,0.5920706698916816,q3of5,q2of5,q4of5
3756,fbx_to_json_data_susu_retarget_maya/20250918/Human_0916_1_3_5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250918,7.55,20,action-only,<unannotated>,身体轻微左右摇摆，双手在身后交叠摆动，模仿小狗摇尾巴的样子,1.0539973974227905,2.3283326625823975,0.015039326623082161,0.042495809495449066,0.02736794576048851,0.07192489504814148,True,0.6832605952255758,q4of5,q4of5,q4of5
3757,fbx_to_json_data_susu_retarget_maya/20250922/Human_0916_26_1_11_03,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250922,5.75,22,action-only,<unannotated>,将你的深蹲动作，改编成一个缓慢下沉再优雅起身的芭蕾舞动作，双臂全程保持着天鹅般的姿态。,2.2407124042510986,5.002289772033691,0.03488792106509209,0.10597774386405945,0.022752873599529266,0.06973116844892502,True,0.8213928909454201,q3of5,q4of5,q5of5
3758,fbx_to_json_data_susu_retarget_maya/20250829/Human_0829_17-2_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250829,5.6,19,expression-only,期盼,<unannotated>,0.01687679812312126,0.04212544113397598,0.01687679812312126,0.04212544113397598,0.01639069989323616,0.04670273885130882,False,0.5346250920180882,q2of5,q3of5,q3of5
3759,fbx_to_json_data_susu_retarget_maya/20251022/Human_1021_19_2_2_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251022,4.3,17,action-only,<unannotated>,单手托着下巴，眼神有点飘忽,0.4872063398361206,0.793628990650177,0.008594898506999016,0.020143352448940277,0.02448226325213909,0.06186080351471901,True,0.4001735198233253,q1of5,q2of5,q2of5
3760,fbx_to_json_data_susu_chonglu/20260116/Human_263_20_01_A,fbx_to_json_data_susu_chonglu,fbx_to_json_data_susu_chonglu/20260116,8.2,26,expression+action,回忆神色,视线右上游移,0.1655755341053009,0.35789555311203003,0.0038899467326700687,0.00889071635901928,0.008533465676009655,0.0246411245316267,True,0.10108844252813123,q5of5,q5of5,q1of5
3761,fbx_to_json_data_susu_retarget_maya/20251014/Human_0916_216_0_2_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251014,4.15,14,action-only,<unannotated>,双手在胸前合十，然后猛地向两边张开，像在启动一个神秘的仪式,2.779369831085205,6.609424114227295,0.027218108996748924,0.06648123264312744,0.015937404707074165,0.04863467440009117,True,0.6609264906930277,q1of5,q1of5,q4of5
3762,fbx_to_json_data_susu_retarget_maya/20250805/Human_susu_250804_16-4_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250805,7.85,20,expression-only,沉静,<unannotated>,0.009397272020578384,0.021960852667689323,0.009397272020578384,0.021960852667689323,0.021904231980443,0.063319630920887,False,0.3998974655589441,q5of5,q4of5,q2of5
3763,fbx_to_json_data_susu_retarget_maya/20251120/Human_1119_2_0_2_01_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251120,6.35,28,action-only,<unannotated>,身体迅速向后跳一大步，双手并在胸前交叉，做出夸张的防御姿态,2.313840866088867,8.226879119873047,0.033887848258018494,0.08755093812942505,0.032435640692710876,0.10788978636264801,True,0.9420943316857714,q3of5,q5of5,q5of5
3764,fbx_to_json_data_susu_retarget_maya/20251029/Human_1021_54_1_9_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251029,5.3,15,no-tags,<unannotated>,<unannotated>,1.09756600856781,2.7674553394317627,0.0151068652048707,0.036866817623376846,0.015540971420705318,0.04435206577181816,True,0.46862183194868023,q2of5,q1of5,q3of5
3765,fbx_to_json_data_susu_retarget_maya/20250930/Human_0916_138_1_3_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250930,7.05,16,action-only,<unannotated>,伸到一半时猛地一顿，像被电击一样，全身僵住，维持着前伸的姿势,0.6427861452102661,1.8714368343353271,0.008755754679441452,0.020651882514357567,0.005326095502823591,0.003584439866244793,True,0.10432222105373856,q4of5,q2of5,q1of5
3766,fbx_to_json_data_susu_retarget_maya/20250916/Human_0915_78-1_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250916,5.5,14,expression+action,带着关切,轻声说道,0.0176753681153059,0.03811575472354889,0.0176753681153059,0.03811575472354889,0.022694973275065422,0.06649022549390793,False,0.6457829424755495,q2of5,q1of5,q4of5
3767,fbx_to_json_data_susu_retarget_maya/20251009/Human_0916_155_2_7_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251009,6.2,19,action-only,<unannotated>,突然前倾，把脸凑近屏幕，模仿你敷着面膜时面无表情的样子,1.2704988718032837,2.7085695266723633,0.020448870956897736,0.048802874982357025,0.023848392069339752,0.07469969987869263,True,0.7459380586812494,q3of5,q3of5,q5of5
3768,fbx_to_json_data_susu_retarget_maya/20250828/Human_0826_158-3_02,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250828,8.7,19,expression-only,狡黠,<unannotated>,0.01314494013786316,0.03249496966600418,0.01314494013786316,0.03249496966600418,0.01952490583062172,0.0551665760576725,False,0.480360710905458,q5of5,q3of5,q3of5
3769,fbx_to_json_data_susu_retarget_maya/20250929/Human_0916_123_2_3_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250929,7.25,21,action-only,<unannotated>,她慢慢放下手臂，双臂在胸前交叉，头歪向一侧，眼神里带着一丝探究和惊喜。,0.017566226422786713,0.0435638427734375,0.017566226422786713,0.0435638427734375,0.004914895165711641,0.010227551683783531,False,0.3825191923440951,q4of5,q4of5,q2of5
3770,fbx_to_json_data_susu_chonglu/20260115/Human_162_95_01_A,fbx_to_json_data_susu_chonglu,fbx_to_json_data_susu_chonglu/20260115,4.05,17,expression+action,认真解释,左手悬空示意,0.6722142100334167,1.3958407640457153,0.00870502833276987,0.016771171241998672,0.012754405848681927,0.035711731761693954,True,0.20230833946787252,q1of5,q2of5,q1of5
3771,fbx_to_json_data_susu_retarget_maya/20250821/Human_0819_185-4_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250821,7.8,18,no-tags,<unannotated>,<unannotated>,0.012948974967002869,0.02838781289756298,0.012948974967002869,0.02838781289756298,0.016955366358160973,0.04801856726408005,False,0.4010016826164686,q5of5,q3of5,q2of5
3772,fbx_to_json_data_susu_retarget_maya/20250905/Human_0904_127-4_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250905,7.0,20,expression+action,眉毛轻挑，带着调皮的质疑,眼睛狡黠地一转,0.01647138223052025,0.040027618408203125,0.01647138223052025,0.040027618408203125,0.03551812097430229,0.11903447657823563,False,0.7916053212745819,q4of5,q4of5,q5of5
3773,fbx_to_json_data_susu_retarget_maya/20250814/Human_0814_25-2_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250814,6.3,15,expression-only,皱眉,<unannotated>,0.00739935040473938,0.014638208784162998,0.00739935040473938,0.014638208784162998,0.009574596770107746,0.022600842639803886,False,0.12925912293616573,q3of5,q1of5,q1of5
3774,fbx_to_json_data_susu_retarget_maya/20251113/Human_1021_321_4_7_01_XC,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251113,5.35,17,action-only,<unannotated>,手臂快速向下挥动一下，模仿用小锤敲击膝盖的动作，然后期待地抬头看你的反应。,1.3001123666763306,3.6837334632873535,0.019075695425271988,0.048818185925483704,0.01627086102962494,0.03949711471796036,True,0.561139446839836,q2of5,q2of5,q3of5
3775,fbx_to_json_data_susu_retarget_maya/20251031/Human_1021_92_0_5_01_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251031,3.9,16,action-only,<unannotated>,猛地弹起身，双脚微微分开站稳，双手叉腰，模仿超人一样挺起胸膛，故作强大。,2.5799758434295654,6.0267133712768555,0.0333729051053524,0.08630827069282532,0.012324569746851921,0.0327417217195034,True,0.6100010516352928,q1of5,q2of5,q4of5
3776,fbx_to_json_data_susu_retarget_maya/20250915/Human_0912_168-8_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250915,7.05,19,expression+action,'原来如此'的释然笑意,忍不住笑出声,0.02183956280350685,0.05390343815088272,0.02183956280350685,0.05390343815088272,0.02992282062768936,0.08819601684808731,False,0.8392575454832264,q4of5,q3of5,q5of5
3777,fbx_to_json_data_susu_retarget_maya/20250820/Human_0819_1-11_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250820,6.3,29,no-tags,<unannotated>,<unannotated>,0.011126928962767124,0.027863891795277596,0.011126928962767124,0.027863891795277596,0.009196835570037365,0.026727817952632904,False,0.24495215059417397,q3of5,q5of5,q1of5
3778,fbx_to_json_data_susu_retarget_maya/20250925/Human_0916_68_4_3_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250925,5.45,15,action-only,<unannotated>,突然松开双臂，像猫一样伸一个大大的懒腰，舒展四肢,2.3483052253723145,6.054051399230957,0.030396129935979843,0.09200690686702728,0.017633900046348572,0.054167281836271286,True,0.7174913240088338,q2of5,q1of5,q4of5
3779,fbx_to_json_data_susu_retarget_maya/20250822/Human_0819_235-4_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250822,8.2,22,expression-only,凝眉,<unannotated>,0.008295197039842606,0.01935112476348877,0.008295197039842606,0.01935112476348877,0.019186198711395264,0.05580076575279236,False,0.32562572299926384,q5of5,q4of5,q2of5
3780,fbx_to_json_data_susu_chonglu/20260119/Human_167_67_01_B,fbx_to_json_data_susu_chonglu,fbx_to_json_data_susu_chonglu/20260119,4.4,22,expression+action,急切睁眼,双手前伸摇摆,1.8532207012176514,5.029759883880615,0.01989692822098732,0.05213848128914833,0.0140447486191988,0.03939233347773552,True,0.556433378904196,q1of5,q4of5,q3of5
3781,fbx_to_json_data_susu_retarget_maya/20251112/Human_1021_308_1_1_01_XG,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251112,4.65,23,action-only,<unannotated>,身体像不倒翁一样左右摇晃，双臂也顺势向两侧摆开,5.293433666229248,14.667614936828613,0.027697812765836716,0.07575348019599915,0.0025486117228865623,0.006045940797775984,True,0.4858949416342412,q2of5,q5of5,q3of5
3782,fbx_to_json_data_susu_retarget_maya/20251125/Human_1119_105_0_12_01_XC,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251125,8.85,25,action-only,<unannotated>,原地站定深呼吸，双手握拳轻轻敲打自己的脑袋两侧，试图让自己清醒,1.2306115627288818,3.057774305343628,0.01900867372751236,0.046761222183704376,0.0067463405430316925,0.014617466367781162,True,0.4259911662635397,q5of5,q5of5,q2of5
3783,fbx_to_json_data_susu_retarget_maya/20250911/Human_0910_147-6_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250911,6.95,19,expression+action,眼中闪过一丝同情和好奇,轻轻抱住自己的手臂,0.019298668950796127,0.044581517577171326,0.019298668950796127,0.044581517577171326,0.037463437765836716,0.11339902877807617,False,0.8443842675360186,q4of5,q3of5,q5of5
3784,fbx_to_json_data_susu_retarget_maya/20250813/Human_0811_171-5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250813,4.55,12,expression-only,撇嘴,<unannotated>,0.008291362784802914,0.01563035510480404,0.008291362784802914,0.01563035510480404,0.007210033014416695,0.019672030583024025,False,0.11953149647702177,q1of5,q1of5,q1of5
3785,fbx_to_json_data_susu_retarget_maya/20251015/Human_0916_237_4_8_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251015,5.7,21,action-only,<unannotated>,迅速用双臂环抱住自己，像是在遮掩，但嘴角却忍不住偷偷上扬。,1.6394872665405273,5.496365070343018,0.0211041197180748,0.04835554584860802,0.020928364247083664,0.06029955670237541,True,0.683681249342728,q3of5,q4of5,q4of5
3786,fbx_to_json_data_susu_retarget_maya/20250912/Human_0912_45-7_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250912,6.65,16,expression+action,眼睛亮了起来，带着新奇和兴奋的光芒,抬头用期待的眼神看向对方,0.02286701463162899,0.056911174207925797,0.02286701463162899,0.056911174207925797,0.0350334458053112,0.10223191976547241,False,0.8886449679251235,q4of5,q2of5,q5of5
3787,fbx_to_json_data_susu_retarget_maya/20250801/Human_565-7_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250801,12.3,43,expression-only,惊吓,<unannotated>,0.015678875148296356,0.03853415697813034,0.015678875148296356,0.03853415697813034,0.028354927897453308,0.0840563178062439,False,0.7073956251971816,q5of5,q5of5,q4of5
3788,fbx_to_json_data_susu_retarget_maya/20251105/Human_0916_171_2_13_01_XC,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251105,3.95,16,action-only,<unannotated>,双臂在胸前交叉，头一歪，做出一个“搞定啦”的得意表情。,1.5787121057510376,6.197978496551514,0.018445968627929688,0.045212168246507645,0.016721563413739204,0.04020557925105095,True,0.5485724050899148,q1of5,q2of5,q3of5
3789,fbx_to_json_data_susu_retarget_maya/20250901/Human_0829_144-3_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250901,5.35,18,no-tags,<unannotated>,<unannotated>,0.014021064154803753,0.03365834802389145,0.014021064154803753,0.03365834802389145,0.008296338841319084,0.02510508894920349,False,0.3266116310863393,q2of5,q3of5,q2of5
3790,fbx_to_json_data_susu_retarget_maya/20250909/Human_0908_92-5_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250909,5.65,19,expression+action,狡黠的光芒收敛，带着困惑和一丝不甘心,稍微往后退了一小步，但目光没有移开,0.008192433044314384,0.01866373047232628,0.008192433044314384,0.01866373047232628,0.003447365015745163,0.008555535227060318,False,0.0916763066568514,q3of5,q3of5,q1of5
3791,fbx_to_json_data_susu_retarget_maya/20250904/Human_0904_120-1_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250904,7.95,17,expression+action,嘴角上扬，带着调皮的笑意,眨了眨眼睛，头微微歪向一侧,0.015540455467998981,0.03579353541135788,0.015540455467998981,0.03579353541135788,0.031186506152153015,0.09489243477582932,False,0.7222236828267956,q5of5,q2of5,q4of5
3792,fbx_to_json_data_susu_retarget_maya/20250919/Human_0916_12_1_15_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250919,6.0,14,action-only,<unannotated>,双手突然在空中夸张地一拍，仿佛抓到了你的逻辑漏洞，脸上露出得意的微笑。,1.962060570716858,5.557514667510986,0.02324283868074417,0.06338774412870407,0.027296800166368484,0.0758807435631752,True,0.8225759806499107,q3of5,q1of5,q5of5
3793,fbx_to_json_data_susu_retarget_maya/20250806/Human_susu_250804_156-6_01,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20250806,4.0,10,expression-only,小得意,<unannotated>,0.002997293137013912,0.008494162932038307,0.002997293137013912,0.008494162932038307,0.003093891777098179,0.006033650599420071,False,0.03590019981070565,q1of5,q1of5,q1of5
3794,fbx_to_json_data_susu_retarget_maya/20251106/Human_0916_181_0_14_02_XC,fbx_to_json_data_susu_retarget_maya,fbx_to_json_data_susu_retarget_maya/20251106,5.25,21,action-only,<unannotated>,完成一个折叠动作后，双臂在胸前交叉，然后向两侧画出优美的弧线展开，同时俏皮地一歪头。,1.4619526863098145,4.943120956420898,0.018466928973793983,0.04874235391616821,0.0019457085290923715,6.719250791320519e-07,True,0.38174361131559575,q2of5,q4of5,q2of5
